,Date,Oil_Price,NGL_Price,Gas_Price,Oil_Prod,NGL_Prod,Gas_Prod,Oil_Revenue,NGL_Revenue,Gas_Revenue,Oil_Rev_NRI,NGL_Rev_NRI,Gas_Rev_NRI,Total_Revenue,LOE,Ad_Valorem_Tax,Sev_Tax_Oil,Sev_Tax_NGL,Sev_Tax_Gas,D&CCAPEX,Cash Flow,Cumulative Cash Flows,Time
17,2016-01-01,89.0192,32.907,4.329,4819.821528238636,419.44686581297947,2174.909674585819,429056.6565865808,13802.738013307713,9415.18398128201,429056.6565865808,13802.738013307713,9415.18398128201,452274.5785811705,9500,11306.864464529264,20804.630614733844,33920.59339358779,33920.59339358779,0,352321.8967147318,4617059.059736548,17
18,2016-02-01,88.52240000000002,32.7005,4.448,4625.384258387357,409.3840735676631,2122.7322333138086,409450.11547466903,13387.063897699367,9441.912973779821,409450.11547466903,13387.063897699367,9441.912973779821,432279.0923461482,9500,10806.977308653706,19884.838247922817,32420.931925961115,32420.931925961115,0,336745.41293764947,4953804.4726741975,18
19,2016-03-01,87.998,32.5045,4.427,4447.410290216916,400.33859770703714,2075.8297658883407,391363.2107185082,13012.805949168389,9189.698373587684,391363.2107185082,13012.805949168389,9189.698373587684,413565.7150412643,9500,10339.142876031608,19024.02289189816,31017.42862809482,31017.42862809482,0,322167.6920171448,5275972.164691342,19
20,2016-04-01,87.5012,32.319,4.366,4283.839406252016,392.18467178613827,2033.5501500021983,374841.08865433885,12675.016407456204,8878.479954909597,374841.08865433885,12675.016407456204,8878.479954909597,396394.58501670463,9500,9909.864625417616,18234.150910768414,29729.593876252846,29729.593876252846,0,308791.38172801293,5584763.546419355,20
21,2016-05-01,87.06880000000001,32.1545,4.108,4132.946671701163,384.817076763202,1995.3478054388252,359850.70716901426,12373.600694782379,8196.888784742692,359850.70716901426,12373.600694782379,8196.888784742692,380421.19664853934,9500,9510.529916213483,17499.37504583281,28531.58974864045,28531.58974864045,0,296348.1121892122,5881111.658608567,21
22,2016-06-01,86.7284,32.025,4.118,3993.2745045352017,378.1471509076048,1960.7630047060986,346330.3085391308,12110.162507816043,8074.422053379715,346330.3085391308,12110.162507816043,8074.422053379715,366514.89310032653,9500,9162.872327508163,16859.68508261502,27488.61698252449,27488.61698252449,0,285515.1017251543,6166626.7603337215,22
23,2016-07-01,86.4616,31.913,4.147,3863.583426294254,372.099522322902,1929.4049305631952,334051.6047708833,11874.81205589077,8001.242247045571,334051.6047708833,11874.81205589077,8001.242247045571,353927.65907381964,9500,8848.191476845492,16280.672317395703,26544.57443053647,26544.57443053647,0,275709.6464185055,6442336.406752227,23
24,2016-08-01,86.09360000000001,31.769499999999997,4.173,3742.812517169148,363.52597695685404,1884.9495101466503,322232.2037281538,11549.038524930773,7865.894305841972,322232.2037281538,11549.038524930773,7865.894305841972,341647.13655892655,9500,8541.178413973164,15715.768281710622,25623.53524191949,25623.53524191949,0,266143.1193794037,6708479.526131631,24
25,2016-09-01,85.836,31.664499999999997,4.181,3630.0476345024513,352.57351985467295,1828.1589918390448,311588.7687551524,11164.06421943829,7643.532744879047,311588.7687551524,11164.06421943829,7643.532744879047,330396.36571946973,9500,8259.909142986744,15198.232823095608,24779.72742896023,24779.72742896023,0,257378.7688954669,6965858.295027098,25
26,2016-10-01,85.6152,31.5805,4.172,3524.497152102231,342.3217794704583,1775.00181947645,301750.52857666294,10810.692956566809,7405.307590855749,301750.52857666294,10810.692956566809,7405.307590855749,319966.5291240855,9500,7999.1632281021375,14718.460339707934,23997.489684306413,23997.489684306413,0,249253.92618766255,7215112.22121476,26
27,2016-11-01,85.4312,31.510499999999997,4.193,3425.471823872477,332.70380394455043,1725.130835268039,292642.16847961437,10483.663214194756,7233.473592278887,292642.16847961437,10483.663214194756,7233.473592278887,310359.305286088,9500,7758.982632152201,14276.52804316005,23276.9478964566,23276.9478964566,0,241769.8988178626,7456882.1200326225,27
28,2016-12-01,85.3024,31.450999999999997,4.266,3332.3682865464602,323.66099861797943,1678.2422150561895,284259.0125263008,10179.46206753407,7159.381289429704,284259.0125263008,10179.46206753407,7159.381289429704,301597.85588326456,9500,7539.946397081614,13873.50137063017,22619.839191244842,22619.839191244842,0,234944.72973306308,7691826.849765685,28
29,2017-01-01,85.2472,31.401999999999997,4.432,3244.6564441298883,315.1418693105567,1634.0689519806642,276597.87682402943,9896.0849800901,7242.193595178304,276597.87682402943,9896.0849800901,7242.193595178304,293736.15539929783,9500,7343.4038849824465,13511.8631483677,22030.211654947336,22030.211654947336,0,228820.465056053,7920647.314821739,29
